tract,race,med_income
Census Tract 1.01; Queens County; New York,White,124885
Census Tract 1.02; Queens County; New York,White,213750
Census Tract 1.04; Queens County; New York,Black,NA
Census Tract 10.01; New York County; New York,White,109352
Census Tract 10.02; New York County; New York,Hispanic,23658
Census Tract 1004; Kings County; New York,Black,83872
Census Tract 1006; Kings County; New York,Black,106250
Census Tract 1008.01; Queens County; New York,Black,140521
Census Tract 1008.03; Queens County; New York,Black,47271
Census Tract 1008.04; Queens County; New York,Black,118220
Census Tract 1008; Kings County; New York,Black,89191
Census Tract 100; Kings County; New York,Hispanic,64107
Census Tract 100; New York County; New York,White,103417
Census Tract 100; Queens County; New York,Asian,112390
Census Tract 1010.02; Queens County; New York,White,53222
Census Tract 1010.03; Queens County; New York,Hispanic,68707
Census Tract 1010.04; Queens County; New York,Black,41429
Census Tract 1010; Kings County; New York,Black,62330
Census Tract 1012; Kings County; New York,Black,89773
Census Tract 1014; Kings County; New York,Black,72367
Census Tract 1016; Kings County; New York,Black,122125
Census Tract 1017; Queens County; New York,White,112790
Census Tract 1018; Kings County; New York,Black,93243
Census Tract 101; Kings County; New York,Hispanic,118906
Census Tract 101; New York County; New York,White,97242
Census Tract 101; Queens County; New York,White,105063
Census Tract 1020; Kings County; New York,Black,109565
Census Tract 1022; Kings County; New York,Black,90000
Census Tract 1024; Kings County; New York,Black,76724
Census Tract 1026; Kings County; New York,Black,110592
Census Tract 1028.01; Kings County; New York,Black,72121
Census Tract 1029; Queens County; New York,White,86114
Census Tract 102; Kings County; New York,Asian,61643
Census Tract 102; New York County; New York,White,91157
Census Tract 102; Queens County; New York,Asian,99265
Census Tract 1032.01; Queens County; New York,Black,61229
Census Tract 1032.02; Queens County; New York,White,85561
Census Tract 1033; Queens County; New York,White,97227
Census Tract 1034.01; Kings County; New York,Black,17824
Census Tract 1039; Queens County; New York,White,75957
Census Tract 103; New York County; New York,White,103838
Census Tract 103; Queens County; New York,White,76118
Census Tract 104.01; Kings County; New York,Asian,54250
Census Tract 104.02; Kings County; New York,Asian,31645
Census Tract 1047; Queens County; New York,Asian,69559
Census Tract 104; New York County; New York,White,181333
Census Tract 104; Queens County; New York,Black,81552
Census Tract 1058.01; Kings County; New York,Black,23657
Census Tract 1058.04; Kings County; New York,Black,45000
Census Tract 1059; Queens County; New York,White,103125
Census Tract 105; Queens County; New York,White,61589
Census Tract 105; Richmond County; New York,Hispanic,90833
Census Tract 106.01; Kings County; New York,Asian,43625
Census Tract 106.01; New York County; New York,White,224898
Census Tract 106.02; Kings County; New York,Asian,63232
Census Tract 106.02; New York County; New York,White,190685
Census Tract 106; Queens County; New York,Asian,112083
Census Tract 1070.01; Kings County; New York,Black,60919
Census Tract 1072.01; Queens County; New York,White,103333
Census Tract 1078; Kings County; New York,Black,75881
Census Tract 108.01; Kings County; New York,Asian,68900
Census Tract 108.01; New York County; New York,White,169293
Census Tract 108.02; Kings County; New York,Asian,59145
Census Tract 108.02; New York County; New York,White,131171
Census Tract 108.03; New York County; New York,White,160111
Census Tract 1085; Queens County; New York,White,68859
Census Tract 108; Queens County; New York,Asian,88224
Census Tract 1093; Queens County; New York,White,137429
Census Tract 1097; Queens County; New York,White,121250
Census Tract 1098; Kings County; New York,Black,66985
Census Tract 1099; Queens County; New York,White,100176
Census Tract 109; New York County; New York,White,146042
Census Tract 10; Queens County; New York,Hispanic,88250
Census Tract 1104; Kings County; New York,Black,62143
Census Tract 1106; Kings County; New York,Black,29919
Census Tract 110; Kings County; New York,Hispanic,77500
